company_id,type,rule_id,text,confidence_pct
ABB,con,CF,Continuous monitoring of future financial performance is recommended.,65
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,P5,Very high interest coverage reflects negligible financial stress from debt servicing.,93
ABB,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,94
ADANIENSOL,con,C8,Operating margins have declined for three consecutive years indicating pressure on profitability.,87
ADANIENSOL,con,C7,Return on equity has declined for three consecutive years.,86
ADANIENSOL,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIENSOL,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
ADANIENT,con,C2,Negative free cash flow raises concern regarding cash generation quality.,92
ADANIENT,pro,P7,Return on equity has improved for three consecutive years indicating strengthening business quality.,87
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,94
ADANIGREEN,con,C2,Negative free cash flow raises concern regarding cash generation quality.,92
ADANIGREEN,con,C7,Return on equity has declined for three consecutive years.,86
ADANIGREEN,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIPORTS,con,CF,Continuous monitoring of future financial performance is recommended.,65
ADANIPORTS,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIPORTS,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
ADANIPOWER,con,CF,Continuous monitoring of future financial performance is recommended.,65
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
ADANIPOWER,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
ADANIPOWER,pro,P7,Return on equity has improved for three consecutive years indicating strengthening business quality.,87
AMBUJACEM,con,C2,Negative free cash flow raises concern regarding cash generation quality.,92
AMBUJACEM,pro,P5,Very high interest coverage reflects negligible financial stress from debt servicing.,93
APOLLOHOSP,con,C7,Return on equity has declined for three consecutive years.,86
APOLLOHOSP,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
ASIANPAINT,con,CF,Continuous monitoring of future financial performance is recommended.,65
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,P5,Very high interest coverage reflects negligible financial stress from debt servicing.,93
ASIANPAINT,pro,P2,Strong positive free cash flow reflects healthy cash generation from business operations.,90
AXISBANK,con,C1,Debt-to-equity ratio of 8.25 is elevated and warrants monitoring.,94
AXISBANK,con,C2,Negative free cash flow raises concern regarding cash generation quality.,92
AXISBANK,pro,P4,Operating profit margin above 25% indicates strong pricing power and cost discipline.,92
BAJAJ-AUTO,con,CF,Continuous monitoring of future financial performance is recommended.,65
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
